Este (m);Norte (m);Cota (m);CuT (%);Fe (%);Mo (%);As (%);Zn (%);CuS (%);RecCu (%);CuCo (%);Wi (kwh/ton);Alteración;Mineralización
928.1;327.7;1265.6;0.57;1.13;0.003;0.003;0.006;0.01;81.5;30.6;16.82;Potásico;Baja pirita
935.9;313.1;1313.8;0.38;0.84;0.003;0.009;0.013;0.01;88.4;30.7;17.02;Cuarzo-sericita;Baja pirita
938.2;169.2;1555.1;0.40;0.67;0.086;0.106;0.019;0.03;84.6;30.3;12.92;Potásico;Alta pirita
943.6;110.0;1728.0;1.68;4.12;0.070;0.080;0.018;0.05;94.4;24.6;11.92;Cuarzo-sericita;Alta pirita
943.7;94.7;1563.3;1.52;1.12;0.068;0.077;0.110;0.05;93.5;34.9;14.01;Cuarzo-sericita;Alta pirita
944.3;297.1;1366.3;0.66;0.79;0.017;0.006;0.039;0.01;82.3;31.9;17.71;Cuarzo-sericita;Baja pirita
947.2;167.4;1694.4;0.99;1.88;0.068;0.078;0.008;0.08;87.7;29.4;12.11;Cuarzo-sericita;Alta pirita
948.7;367.7;1575.8;0.92;1.07;0.004;0.009;0.025;0.03;82.7;32.3;17.56;Potásico;Baja pirita
952.3;282.8;1590.0;0.55;0.70;0.046;0.021;0.063;0.02;86.2;32.2;16.44;Cuarzo-sericita;Baja pirita
955.9;274.9;1438.6;0.54;0.91;0.114;0.043;0.026;0.02;84.2;34.6;16.13;Cuarzo-sericita;Baja pirita
958.6;254.3;1561.8;0.60;0.93;0.042;0.010;0.029;0.03;90.5;30.6;15.39;Potásico;Baja pirita
959.8;193.3;1446.3;0.46;0.49;0.127;0.143;0.027;0.02;88.5;33.1;14.32;Potásico;Alta pirita
962.6;165.2;1401.1;0.81;0.82;0.201;0.064;0.128;0.06;90.4;33.1;13.40;Potásico;Alta pirita
966.4;129.6;1343.9;1.63;1.58;0.094;0.057;0.082;0.08;87.7;32.4;14.27;Potásico;Alta pirita
971.0;80.2;1264.4;1.63;1.51;0.023;0.012;0.283;0.06;85.2;32.5;13.84;Potásico;Alta pirita
991.7;42.9;1132.6;1.56;1.39;0.053;0.006;0.022;0.05;82.4;33.8;13.57;Potásico;Alta pirita
993.3;82.0;1236.5;1.85;1.08;0.036;0.037;0.022;0.16;86.3;35.6;13.99;Potásico;Alta pirita
994.1;122.9;1347.7;1.27;1.55;0.071;0.048;0.136;0.08;90.3;31.7;13.52;Cuarzo-sericita;Alta pirita
995.8;141.9;1398.2;0.43;0.87;0.170;0.064;0.150;0.04;82.8;26.9;12.81;Potásico;Alta pirita
996.4;155.4;1434.8;0.84;0.51;0.129;0.137;0.082;0.03;90.7;36.0;13.40;Cuarzo-sericita;Alta pirita
996.8;362.2;1514.7;1.16;0.76;0.011;0.006;0.011;0.05;94.9;36.3;17.53;Potásico;Baja pirita
997.2;349.5;1556.3;1.13;0.55;0.004;0.006;0.006;0.03;92.6;38.7;16.27;Potásico;Baja pirita
997.3;341.3;1585.1;1.08;0.60;0.006;0.006;0.016;0.03;89.6;37.3;16.73;Potásico;Baja pirita
997.7;218.5;1620.4;1.14;3.17;0.125;0.079;0.017;0.14;61.9;28.0;13.03;Cuarzo-sericita;Alta pirita
999.2;154.2;1682.8;0.64;0.80;0.194;0.077;0.015;0.09;83.5;33.4;12.54;Potásico;Alta pirita
1001.8;250.2;1465.7;0.79;2.04;0.071;0.163;0.032;0.03;89.8;27.2;15.57;Cuarzo-sericita;Alta pirita
1038.6;157.1;1564.3;0.63;1.10;0.153;0.089;0.025;0.06;84.4;30.4;12.68;Potásico;Alta pirita
1039.5;251.7;1608.8;0.89;2.94;0.095;0.145;0.012;0.09;86.1;26.1;12.69;Cuarzo-sericita;Alta pirita
1039.9;175.3;1600.4;0.80;0.79;0.075;0.045;0.012;0.07;86.2;35.4;11.61;Cuarzo-sericita;Alta pirita
1048.3;116.2;1617.0;1.30;1.02;0.108;0.121;0.411;0.04;92.3;34.0;11.95;Cuarzo-sericita;Alta pirita
1051.9;289.9;1584.4;1.25;2.08;0.062;0.006;0.025;0.04;89.3;29.5;15.50;Potásico;Baja pirita
1053.8;246.1;1521.7;0.65;3.58;0.074;0.014;0.006;0.08;89.4;26.1;15.52;Cuarzo-sericita;Alta pirita
1056.6;201.4;1457.8;0.57;1.13;0.160;0.142;0.028;0.04;89.9;28.1;13.62;Potásico;Alta pirita
1058.7;157.7;1215.6;0.68;0.68;0.086;0.171;0.084;0.01;90.0;32.1;14.26;Cuarzo-sericita;Alta pirita
1058.9;173.6;1337.6;0.71;0.59;0.150;0.032;0.028;1.02;88.1;34.4;12.55;Potásico;Alta pirita
1059.0;163.6;1403.8;0.78;0.56;0.102;0.090;0.241;0.03;84.1;36.2;12.28;Cuarzo-sericita;Alta pirita
1059.5;142.0;1095.1;0.37;0.83;0.086;0.071;0.052;0.02;90.4;30.4;12.82;Cuarzo-sericita;Alta pirita
1083.3;108.4;1511.2;2.26;1.11;0.039;0.044;0.087;0.07;93.5;37.2;13.21;Cuarzo-sericita;Alta pirita
1085.2;345.5;1521.2;1.17;0.98;0.011;0.014;0.007;0.02;87.8;33.7;18.41;Potásico;Baja pirita
1085.2;353.2;1501.2;0.79;0.74;0.003;0.013;0.022;0.02;91.8;33.3;16.09;Potásico;Baja pirita
1092.8;362.5;1513.7;1.21;1.08;0.007;0.033;0.038;0.08;89.5;33.5;15.73;Potásico;Baja pirita
1092.9;179.4;1661.5;0.76;1.20;0.176;0.034;0.020;0.05;89.4;30.4;11.49;Cuarzo-sericita;Alta pirita
1093.9;366.6;1443.4;1.39;1.39;0.011;0.008;0.024;0.06;89.1;32.9;17.45;Potásico;Baja pirita
1094.8;370.4;1380.5;0.67;0.82;0.005;0.021;0.025;0.03;89.9;32.4;16.39;Potásico;Baja pirita
1095.5;112.3;1663.8;0.99;1.48;0.018;0.016;0.099;0.11;79.4;30.7;16.08;Cuarzo-sericita;Alta pirita
1096.4;305.1;1523.2;0.76;0.85;0.042;0.023;0.016;0.03;88.2;32.1;14.75;Cuarzo-sericita;Baja pirita
1097.5;196.7;1597.2;0.84;0.73;0.238;0.051;0.025;0.07;83.0;33.7;12.44;Potásico;Alta pirita
1097.8;168.8;1551.0;0.84;0.84;0.102;0.070;0.031;0.05;85.7;33.4;12.36;Cuarzo-sericita;Alta pirita
1098.1;279.3;1478.4;0.84;2.03;0.039;0.169;0.036;0.04;91.2;27.4;14.79;Cuarzo-sericita;Alta pirita
1098.1;141.3;1508.1;1.40;1.25;0.115;0.029;0.255;0.04;90.7;33.7;13.74;Potásico;Alta pirita
1100.2;250.8;1429.0;1.11;2.30;0.053;0.151;0.030;0.06;92.3;28.2;15.96;Potásico;Alta pirita
1102.8;218.6;1373.2;0.74;0.61;0.095;0.190;0.027;0.02;94.4;34.7;12.30;Potásico;Alta pirita
1104.9;194.1;1332.0;0.82;0.87;0.080;0.155;0.030;0.03;86.4;34.3;13.86;Cuarzo-sericita;Alta pirita
1107.3;168.7;1289.6;0.65;0.76;0.162;0.013;0.240;0.05;88.2;32.7;12.94;Potásico;Alta pirita
1115.1;302.2;1566.1;0.57;1.81;0.036;0.043;0.049;0.05;87.4;25.5;15.72;Cuarzo-sericita;Alta pirita
1115.4;103.3;1183.9;2.34;2.91;0.035;0.167;0.022;0.07;91.6;30.6;14.91;Cuarzo-sericita;Alta pirita
1122.0;247.9;1484.5;0.59;1.26;0.107;0.074;0.013;0.06;89.1;28.1;14.21;Cuarzo-sericita;Alta pirita
1123.4;348.4;1524.8;0.72;0.81;0.009;0.012;0.013;0.01;89.2;31.8;16.72;Potásico;Baja pirita
1124.4;334.7;1505.2;0.93;0.02;0.038;0.015;0.018;0.02;88.9;32.5;15.51;Cuarzo-sericita;Baja pirita
1127.1;302.2;1458.4;0.83;0.35;0.026;0.050;0.023;0.02;89.8;38.7;15.65;Potásico;Baja pirita
1127.5;203.6;1417.8;0.60;0.68;0.101;0.075;0.034;0.03;88.3;34.7;12.88;Potásico;Alta pirita
1128.4;289.2;1439.5;0.51;0.64;0.016;0.039;0.104;0.01;85.1;32.0;16.85;Potásico;Baja pirita
1141.0;211.1;1627.8;0.46;0.75;0.091;0.050;0.022;0.04;79.0;32.4;11.22;Cuarzo-sericita;Alta pirita
1143.2;383.9;1520.0;1.39;0.60;0.022;0.036;0.013;0.05;88.2;37.4;17.51;Potásico;Baja pirita
1143.8;489.0;1566.3;0.53;1.01;0.004;0.006;0.018;0.02;87.5;30.1;18.83;Potásico;Baja pirita
1144.4;469.2;1622.9;0.69;0.79;0.004;0.006;0.014;0.02;80.8;32.1;18.95;Potásico;Baja pirita
1146.2;173.0;1668.0;0.94;1.51;0.220;0.098;0.059;0.03;94.2;29.2;11.63;Cuarzo-sericita;Alta pirita
1147.2;136.6;1499.9;2.03;1.25;0.087;0.030;0.256;0.03;94.7;35.4;14.44;Potásico;Alta pirita
1148.4;133.1;1586.2;1.06;1.28;0.100;0.063;0.079;0.03;92.4;32.3;12.70;Cuarzo-sericita;Alta pirita
1150.0;100.7;1239.4;1.63;1.69;0.026;0.021;0.083;0.08;91.7;32.7;14.70;Cuarzo-sericita;Alta pirita
1150.1;140.7;1344.5;1.70;1.79;0.037;0.049;0.116;0.06;87.5;31.5;14.88;Cuarzo-sericita;Alta pirita
1151.9;297.4;1539.6;0.46;2.59;0.078;0.066;0.020;0.02;90.5;23.7;17.59;Potásico;Alta pirita
1152.3;338.5;1524.5;1.15;1.47;0.024;0.046;0.043;0.02;88.1;31.2;15.09;Cuarzo-sericita;Baja pirita
1153.0;331.4;1505.8;0.71;0.52;0.032;0.041;0.029;0.02;86.7;35.6;17.36;Cuarzo-sericita;Baja pirita
1163.0;404.3;1433.3;0.94;0.67;0.004;0.005;0.003;0.02;84.9;35.0;16.24;Potásico;Baja pirita
1163.5;395.8;1451.4;0.86;0.69;0.013;0.038;0.014;0.02;90.6;34.4;15.78;Potásico;Baja pirita
1163.9;387.3;1469.5;0.43;0.30;0.008;0.031;0.056;0.01;88.8;36.2;15.63;Potásico;Baja pirita
1164.3;378.8;1487.6;0.48;0.36;0.008;0.044;0.072;0.02;87.0;35.7;16.24;Potásico;Baja pirita
1164.6;370.3;1505.7;1.08;0.70;0.037;0.071;0.062;0.04;87.4;36.0;17.45;Cuarzo-sericita;Alta pirita
1164.9;361.7;1524.5;0.81;0.03;0.047;0.040;0.039;0.03;89.7;32.0;16.33;Cuarzo-sericita;Alta pirita
1191.9;152.6;1348.7;1.37;1.57;0.110;0.008;0.222;0.06;89.3;32.4;14.70;Cuarzo-sericita;Alta pirita
1192.1;112.0;1256.7;1.35;2.59;0.018;0.016;0.112;0.08;86.2;28.9;14.77;Potásico;Alta pirita
1192.3;84.6;1191.8;0.68;3.49;0.010;0.003;0.047;0.05;86.0;24.3;15.65;Cuarzo-sericita;Alta pirita
1192.5;195.9;1446.0;0.68;1.16;0.111;0.086;0.086;0.05;88.6;29.5;10.92;Cuarzo-sericita;Alta pirita
1192.9;305.3;1501.6;1.14;1.55;0.026;0.045;0.050;-99.00;82.5;30.6;14.46;Cuarzo-sericita;Alta pirita
1193.2;260.7;1589.5;1.09;1.28;0.111;0.099;0.017;0.10;91.1;32.8;11.42;Cuarzo-sericita;Alta pirita
1193.8;308.9;1553.3;0.97;2.58;0.057;0.195;0.026;0.07;82.1;28.1;13.61;Cuarzo-sericita;Alta pirita
1197.2;175.8;1669.6;0.70;1.30;0.091;0.044;0.133;0.02;92.1;29.5;12.37;Potásico;Alta pirita
1197.8;435.1;1592.0;1.58;0.92;0.004;0.006;0.013;0.06;90.7;36.9;16.72;Potásico;Baja pirita
1203.5;227.4;1624.1;0.72;1.61;0.131;0.044;0.022;0.12;87.9;28.3;11.71;Cuarzo-sericita;Alta pirita
1204.9;232.4;1512.1;1.05;0.77;0.114;0.102;0.017;0.07;92.9;35.3;12.35;Potásico;Alta pirita
1210.1;205.4;1406.1;0.96;1.02;0.198;0.148;0.219;0.06;91.3;32.7;12.14;Potásico;Alta pirita
1210.2;161.2;1601.0;0.85;0.83;0.161;0.060;0.048;0.08;88.1;34.0;12.67;Cuarzo-sericita;Alta pirita
1211.5;128.5;1490.5;1.69;1.69;0.032;0.026;0.092;0.05;95.1;31.8;15.23;Potásico;Alta pirita
1214.6;180.9;1308.8;0.64;0.92;0.123;0.050;0.138;0.05;95.4;28.9;13.26;Cuarzo-sericita;Alta pirita
1233.4;315.3;1067.3;1.35;1.35;0.039;0.007;0.017;0.04;89.7;33.2;14.24;Potásico;Alta pirita
1235.3;303.6;1129.2;1.00;0.62;0.070;0.030;0.020;0.03;90.6;36.7;13.46;Cuarzo-sericita;Alta pirita
1239.5;271.3;1323.0;1.45;0.78;0.091;0.017;0.011;0.03;89.0;36.6;14.48;Cuarzo-sericita;Alta pirita
1242.1;253.7;1440.1;0.97;2.26;0.087;0.215;0.046;0.06;89.7;27.7;12.24;Potásico;Alta pirita
